Animal_Name,Wali_Score_Onset,Wali_Score_Bout,Wali_Score_Running_into_Itself,VK_Score_Onset,VK_Score_Bout,VK_Score_Running_into_Itself,T1sum5minavg,T1_sum60min,T1_baselineavg,T1_30avg,T1_respbaseline,T2sum5minavg,T2_sum60min,T2_baselineavg,T2_30avg,T2_respbaseline,T1_TotalDist,T1_PercentCornerDist,T1_PercentPeripheralDist,T1_PercentCenterDist,T1_PercentCornerTime,T1_PercentPeripheralTime,T1_PercentCenterTime,T2_TotalDist,T2_PercentCornerDist,T2_PercentPeripheralDist,T2_PercentCenterDist,T2_PercentCornerTime,T2_PercentPeripheralTime,T2_PercentCenterTime,DD0Tau1ChiSq,DD0Power1,DD0Signif1,DD0PowerFFT,DD0Tau2ChiSq,DD0Power2,DD0signif2,DD0TauFFT,DD0AvgCounts,DD0Lightcounts,DD0DarkCounts,DD0TotalCounts,DD0Lightcounts,DD0Alpha,DD1Tau1ChiSq,DD1Power1,DD1Signif1,DD1PowerFFT,DD1Tau2ChiSq,DD1Power2,DD1Signif2,DD1TauFFT,DD1AvgCounts,DD1Lightcounts,DD1DarkCounts,DD1TotalCounts,DD1percentLightcounts,DD1Alpha,DD2Tau1ChiSq,DD2Power1,DD2Signif1,DD2PowerFFT,DD2Tau2ChiSq,DD2Power2,DD2Signif2,DD2TauFFT,DD2AvgCounts,DD2Lightcounts,DD2DarkCounts,DD2TotalCounts,DD2percentLightcounts,DD2Alpha,DDMAP0Tau1ChiSq,DDMAP0Power1,DDMAP0Signif1,DDMAP0PowerFFT,DDMAP0Tau2ChiSq,DDMAP0Power2,DDMAP0Signif2,DDMAP0TauFFT,DDMAP0AvgCounts,DDMAP0Lightcounts,DDMAP0DarkCounts,DDMAP0TotalCounts,DDMAP0percentLightcounts,DDMAP0Alpha,DDMAP1Tau1ChiSq,DDMAP1Power1,DDMAP1Signif1,DDMAP1PowerFFT,DDMAP1Tau2ChiSq,DDMAP1Power2,DDMAP1Signif2,DDMAP1TauFFT,DDMAP1AvgCounts,DDMAP1Lightcounts,DDMAP1DarkCounts,DDMAP1TotalCounts,DDMAP1percentLightcounts,DDMAP1Alpha,DDMAP2Tau1ChiSq,DDMAP2Power1,DDMAP2Signif1,DDMAP2PowerFFT,DDMAP2Tau2ChiSq,DDMAP2Power2,DDMAP2Signif2,DDMAP2TauFFT,DDMAP2AvgCounts,DDMAP2Lightcounts,DDMAP2DarkCounts,DDMAP2TotalCounts,DDMAP2percentLightcounts,DDMAP2Alpha,DDMAP3Tau1ChiSq,DDMAP3Power1,DDMAP3Signif1,DDMAP3PowerFFT,DDMAP3Tau2ChiSq,DDMAP3Power2,DDMAP3Signif2,DDMAP3TauFFT,DDMAP3AvgCounts,DDMAP3Lightcounts,DDMAP3DarkCounts,DDMAP3TotalCounts,DDMAP3percentLightcounts,DDMAP3Alpha,DDMAP4Tau1ChiSq,DDMAP4Power1,DDMAP4Signif1,DDMAP4PowerFFT,DDMAP4Tau2ChiSq,DDMAP4Power2,DDMAP4Signif2,DDMAP4TauFFT,DDMAP4AvgCounts,DDMAP4Lightcounts,DDMAP4DarkCounts,DDMAP4TotalCounts,DDMAP4percentLightcounts,DDMAP4Alpha,DDMAP5Tau1ChiSq,DDMAP5Power1,DDMAP5Signif1,DDMAP5PowerFFT,DDMAP5Tau2ChiSq,DDMAP5Power2,DDMAP5Signif2,DDMAP5TauFFT,DDMAP5AvgCounts,DDMAP5Lightcounts,DDMAP5DarkCounts,DDMAP5TotalCounts,DDMAP5percentLightcounts,DDMAP5Alpha,LDTau1ChiSq,LDPower1,LDSignif1,LDPowerFFT,LDTau2ChiSq,LDPower2,LDSignif2,LDTauFFT,LDAvgCounts,LDLightcounts,LDDarkCounts,LDTotalCounts,LDpercentLightcounts,LDAlpha
WT209G3N2F20213,1,2,0,2,2,0,8896.6,13022.2,405.7272727,1501.466667,1095.739394,9999.6,13322.6,495.3636364,1569.1,1073.736364,6895.4,14.6,60.1,39.9,20.3,66.3,33.7,8024.9,24.5,72.5,27.5,27.9,67.4,32.6,23.7,2872.192,310.042,0.098,15.8,527.68,218.711,0.042,24.295,179.52,34804.68,34984.2,0.513,2.716,23.7,1211.659,310.042,0.108,11.8,225.257,171.263,0.042,25.69,250.2,36743.2,36993.4,0.676,9.67,23.8,1190.866,311.184,0.096,11.9,313.243,172.464,0.042,24.511,180,35115.5,35295.5,0.51,0.47,24,2318.084,313.466,0.107,12.3,512.099,177.257,0.041,22.94,106.951,32927.098,33034.049,0.324,0.717,23.9,1027.169,312.325,0.061,12,421.25,173.663,0.083,28.664,173,41102.5,41275.5,0.419,0.35,23.9,1105.198,312.325,0.14,11.8,219.495,171.263,0.042,26.09,36.4,37533.4,37569.8,0.097,7.33,24.7,1046.952,321.445,0.11,12.4,399.731,178.453,0.037,20.628,149.5,29554.7,29704.2,0.503,10.54,25.1,715.769,325.999,0.129,33.2,406.504,417.382,0.042,18.674,79.6,26810.5,26890.1,0.296,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1067.85,312.325,0.142,26.2,342.087,338.498,0.042,16.851,207.778,24058.222,24266,0.856,12.322
WT209G3N2F20219,1,1,0,1,2,0,10549.6,15702,812.9090909,1772.266667,959.3575758,10461.8,14649.6,671.0909091,1714.833333,1043.742424,12665.1,18.7,68.3,31.7,27.6,71.7,28.3,10110,20.4,75.9,24.1,32.8,77.8,22.2,23.4,2980.354,306.615,0.124,11.7,601.771,170.062,0.043,22.87,79.68,32853.2,32932.88,0.242,3.144,23.5,1494.796,307.758,0.179,11.8,345.038,171.263,0.042,26.542,155.3,38064.5,38219.8,0.406,5.32,23.4,1301.464,306.615,0.107,11.7,366.386,170.062,0.042,21.4,43.9,30771.4,30815.3,0.142,8.31,23.6,2515.85,308.9,0.158,12,446.289,173.663,0.042,23.627,303.146,33719.341,34022.488,0.891,9.546,23.7,1087.25,310.042,0.074,11.9,337.436,172.464,0.042,26.821,258.7,38363.1,38621.8,0.67,2.87,23.6,1309.92,308.9,0.142,11.8,351.987,171.263,0.042,25.534,363.3,36406.1,36769.4,0.988,15.33,24.4,1291.799,318.027,0.204,12.2,163.455,176.06,0.042,24.488,387.8,34875.4,35263.2,1.1,13.55,23.1,598.182,303.186,0.105,33.6,407.502,421.86,0.042,20.026,233.1,28604.7,28837.8,0.808,7.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.8,1446.987,311.184,0.209,11.9,355.1,172.464,0.042,16.312,122.556,23366.222,23488.778,0.522,14.444
WT209G3N2F20220,2,3,1,1,3,1,3709.2,6416.4,276.8181818,633.2,356.3818182,4863.8,6870.6,287.2727273,828.0666667,540.7939394,5428.2,17.4,61.4,38.6,16.6,63.4,36.6,4905.5,21.8,74.8,25.2,45.1,87.1,12.9,23.6,2818.906,308.9,0.107,11.8,408.53,171.263,0.042,17.674,117.4,25333.72,25451.12,0.461,0.94,23.7,1371.486,310.042,0.156,11.8,241.931,171.263,0.042,18.162,162.4,25990.8,26153.2,0.621,10.34,23.6,1204.767,308.9,0.123,11.8,207.824,171.263,0.042,18.378,115.7,26349.3,26465,0.437,2.81,23.8,1982.381,311.184,0.087,11.9,382.016,172.464,0.042,19.156,32.61,27552.024,27584.634,0.118,4.922,23.8,1171.425,311.184,0.126,11.8,166.136,171.263,0.042,23.005,0.2,33127,33127.2,0.001,7.65,23.9,1334.258,312.325,0.194,11.9,264.745,172.464,0.042,20.674,0.1,29771.1,29771.2,0,9.85,25.1,696.919,325.999,0.103,12.3,202.041,177.257,0.037,18.37,30.9,26422.5,26453.4,0.117,2.22,29.7,728.084,378.071,0.108,23.5,387.473,307.758,0.037,16.49,102.5,23642.7,23745.2,0.432,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1354.578,312.325,0.163,11.9,258.489,172.464,0.042,13.085,97.333,18744.556,18841.889,0.517,11.956
WT209G3N2F20221,1,1,0,1,2,0,4061.6,7560.2,557.1818182,693.8666667,136.6848485,7720.6,13262.4,542.3636364,1302.566667,760.2030303,10055.5,21.6,70,30,33,75.5,24.5,8508.2,14.5,61,39,21.1,66,34,23.7,4143.759,310.042,0.227,15.8,413.417,218.711,0.042,35.54,342,50836,51178,0.668,6.488,23.8,1779.194,311.184,0.258,15.8,244.461,218.711,0.042,38.169,434,54528.8,54962.8,0.79,11.98,23.7,1728.895,310.042,0.224,15.7,164.939,217.537,0.042,34.864,353.4,49850.8,50204.2,0.704,5.39,23.9,4349.503,312.325,0.186,11.9,288.165,172.464,0.042,34.942,0.22,50316.293,50316.512,0,9.707,23.7,1791.684,310.042,0.26,12,115.607,173.663,0.042,40.671,0.8,58565,58565.8,0.001,12.11,23.9,1632.009,312.325,0.238,20.8,207.9,276.796,0.042,41.061,0.1,59127.3,59127.4,0,12,23.9,993.028,312.325,0.11,11.9,213.573,172.464,0.042,34.514,0,49700.6,49700.6,0,8.52,24,781.7,313.466,0.126,28.7,422.127,366.793,0.042,27.017,0,38903.9,38903.9,0,7.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1546.888,312.325,0.27,21.9,253.277,289.44,0.042,26.168,273.667,37408.889,37682.556,0.726,14.022
WT209G3N2F20222,1,2,0,2,2,0,6507.4,9278.8,454.5454545,1062.166667,607.6212121,8901.4,11256.2,705.5454545,1373.133333,667.5878788,8817.8,12.6,56.6,43.4,17.6,63,37,10958.4,15,67.1,32.9,23.8,70,30,23.7,3907.325,310.042,0.246,11.8,240.929,171.263,0.042,25.862,161.96,37078.84,37240.8,0.435,5.148,23.7,1778.784,310.042,0.263,11.9,167.776,172.464,0.042,28.308,330.4,40433.2,40763.6,0.811,13.88,23.7,1656.911,310.042,0.27,11.8,128.786,171.263,0.042,24.856,58.8,35733.7,35792.5,0.164,1.31,23.9,1697.998,312.325,0.1,21.9,310.78,289.44,0.042,11.838,7.683,17038.951,17046.634,0.045,2.663,23.9,721.105,312.325,0.13,22.1,273.217,291.734,0.042,15.465,27.4,22242.4,22269.8,0.123,0.44,24.02,1297.119,308.9,0.245,12,140.438,173.663,0.042,25.177,4.1,36250.4,36254.5,0.011,5.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,994.289,312.325,0.207,27,400.902,347.569,0.042,17.865,183.556,25542.556,25726.111,0.713,7.044
WT209G3N2F20223,x,x,x,2,2,0,7599.6,9922.4,469.2727273,1224.7,755.4272727,8709,10718.6,542.0909091,1404.7,862.6090909,7896.5,18.3,73.4,26.6,23.8,74.5,25.5,7776.8,23.5,80.4,19.6,46.1,89.5,10.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.8,1662.777,311.184,0.247,11.9,184.418,172.464,0.042,27.321,290.8,39051,39341.8,0.739,10.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.2,2426.551,315.747,0.147,12,256.51,173.663,0.042,17.617,62.195,25306.488,25368.683,0.245,0.502,23.9,608.623,312.325,0.106,25.7,316.437,332.821,0.042,15.635,0.3,22513.5,22513.8,0.001,1.17,23.9,1402.987,312.325,0.172,12,259.467,173.663,0.042,25.854,2.3,37227.6,37229.9,0.006,3.95,25,891.219,324.861,0.127,13.3,190.032,189.185,0.042,17.714,85.5,25422.5,25508,0.335,0.23,24.8,561.395,322.584,0.105,18.6,274.087,251.374,0.042,13.028,166.9,18593,18759.9,0.89,7.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1140.681,312.325,0.181,12,260.24,173.663,0.042,19.791,225.111,28274,28499.111,0.79,10.822
WT209G3N2F20224,1,0,0,0,0,0,4279,7100.4,414.3636364,717.5666667,303.2030303,5230.2,7608,308.0909091,838.2666667,530.1757576,8277.3,18.7,77.7,22.3,25.7,77.5,22.5,5555.2,19.3,81,19,32.3,84.8,15.2,23.7,843.92,310.042,0.009,35.5,778.209,443.092,0.169,1.416,22.526,2016.526,2039.053,1.105,6.479,23.8,611.957,311.184,0.013,11.9,398.476,172.464,0.171,1.408,9.6,2018.2,2027.8,0.473,6.61,23.6,544.751,308.9,0.015,11.8,400.165,171.263,0.171,1.425,36.889,2014.667,2051.556,1.798,6.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.6,534.446,308.9,0.021,11.8,379.048,171.263,0.083,1.882,0,2709.5,2709.5,0,4.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,422.297,312.325,0.009,24.6,385.051,320.306,0.008,0.433,0,623.364,623.364,0,7.045
WT209G3N2F20225,2,3,0,2,2,0,5387.4,7808,522.3636364,888.8666667,366.5030303,9659.6,12602.6,354.0909091,1529.233333,1175.142424,8311.2,20.2,68.9,31.1,33.5,76.4,23.6,6705.9,17.4,64.2,35.8,26.6,71.4,28.6,23.6,2185.293,308.9,0.123,11.8,512.945,171.263,0.042,21.381,117.211,30670.789,30788,0.381,0.858,23.5,1126.649,307.758,0.157,11.8,276.768,171.263,0.042,21.902,186.3,31353.2,31539.5,0.591,4.45,23.6,1217.688,308.9,0.145,11.8,313.585,171.263,0.042,20.801,40.444,29912.556,29953,0.135,3.133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1247.928,312.325,0.129,11.9,389.844,172.464,0.042,28.821,0,41501.6,41501.6,0,3.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1279.588,312.325,0.173,12,206.746,173.663,0.042,16.758,245.636,23885.273,24130.909,1.018,14.164
WT209G3N2F20226,1,3,0,1,3,0,6537,9875.8,635.5454545,1085.066667,449.5212121,8092,11675.8,407.4545455,1321.5,914.0454545,10334.1,17.2,70.1,29.9,29.2,74.8,25.2,7193.3,13.5,66.1,33.9,22.5,75.4,24.6,23.7,3270.232,310.042,0.203,11.9,676.241,172.464,0.042,19.783,45.789,28442.105,28487.895,0.161,2.942,23.8,1766.627,311.184,0.199,11.9,388.414,172.464,0.042,19.554,28.6,28129.1,28157.7,0.102,1.84,23.7,1644.285,310.042,0.215,11.8,355.759,171.263,0.042,20.038,64.889,28789.889,28854.778,0.225,8.256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,1239.974,313.466,0.171,11.9,153.108,172.464,0.042,26.109,34.3,37562.2,37596.5,0.091,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1377.885,312.325,0.123,11.9,338.786,172.464,0.042,9.829,30.273,14123.364,14153.636,0.214,6.164
WT209G3N2F20227,2,3,1,2,3,1,5520.4,8665.2,437.4545455,894.0666667,456.6121212,8789.8,13033,495.6363636,1411.833333,916.1969697,7061.9,12.9,62.4,37.6,23.5,72.8,27.2,9038,8,46,54,17.3,61.9,38.1,23.6,2154.068,308.9,0.111,11.8,668.279,171.263,0.042,21.281,179.526,30465.632,30645.158,0.586,5.547,23.7,1296.964,310.042,0.127,11.8,369.262,171.263,0.042,24.222,211.8,34668.2,34880,0.607,11.08,23.5,1121.633,307.758,0.083,11.8,452.937,171.263,0.042,18.014,143.667,25796.111,25939.778,0.554,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1273.196,312.325,0.11,12,458.548,173.663,0.042,31.827,53.5,45776.8,45830.3,0.117,2.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1067.87,312.325,0.095,11.9,350.563,172.464,0.042,10.267,73.091,14712,14785.091,0.494,2.782
WT209G3N2F20228,1,1,0,1,1,0,5242.8,8016.6,623.2727273,852.1666667,228.8939394,7535.2,11289.6,282.8181818,1188.666667,905.8484848,9310,17,59.4,40.6,25.7,68.1,31.9,5140.7,16.8,64.8,35.2,25.7,66.2,33.8,23.6,2752.121,308.9,0.2,11.8,289.624,171.263,0.042,31.612,276.368,45244.474,45520.842,0.607,4.068,23.7,1559.25,310.042,0.219,11.8,191.698,171.263,0.042,31.279,413.5,44628.9,45042.4,0.918,9.44,23.6,1363.706,308.9,0.193,11.8,141.621,171.263,0.042,31.981,124,45928.444,46052.444,0.269,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.8,1661.937,311.184,0.24,11.9,141.261,172.464,0.042,39.737,0,57221.1,57221.1,0,10.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1036.684,312.325,0.14,21.8,235.732,288.292,0.042,13.408,134,19173.182,19307.182,0.694,9.627
WT209G3N2F20229,1,2,0,1,2,0,7074.6,10900.2,726.2727273,1158.333333,432.0606061,7946.6,11114.2,609.3636364,1237.633333,628.269697,11871.2,16.4,65.2,34.8,24.3,69.2,30.8,9309.4,13,60.4,39.6,16.4,57.5,42.5,23.8,2572.922,311.184,0.175,11.9,242.852,172.464,0.042,32.404,370.421,46290.947,46661.368,0.794,10.511,23.9,1458.176,312.325,0.216,16,190.383,221.057,0.042,33.557,459.7,47863.1,48322.8,0.951,12.67,23.7,1260.569,310.042,0.176,11.9,207.069,172.464,0.042,31.122,271.222,44544.111,44815.333,0.605,8.111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1399.989,312.325,0.219,12,155.52,173.663,0.042,36.715,287.3,52581.9,52869.2,0.543,10.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1640.12,312.325,0.242,21.9,216.282,289.44,0.042,22.694,261.455,32418.364,32679.818,0.8,13.045
WT209G3N2F20230,1,1,0,2,2,0,7532.2,12388.6,837.0909091,1256.2,419.1090909,7633.4,11965.8,545.8181818,1203.266667,657.4484848,12774.3,14.4,58.1,41.9,23.4,67.5,32.5,8604.7,17.7,67.4,32.6,30.4,69.2,30.8,23.9,2955.652,312.325,0.222,11.9,288.695,172.464,0.042,36.733,390.789,52505.053,52895.842,0.739,9.842,23.9,1956.732,312.325,0.26,11.9,181.148,172.464,0.042,40.52,525.1,57823.4,58348.5,0.9,12.99,23.8,1191.337,311.184,0.205,11.9,157.423,172.464,0.042,32.526,241.556,46595.778,46837.333,0.516,6.344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1328.445,312.325,0.208,12,216.115,173.663,0.042,35.131,300,50288.3,50588.3,0.593,11.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1775.255,312.325,0.268,22.1,216.991,291.734,0.042,21.192,271.909,30244.545,30516.455,0.891,13.691
WT209G3N2F20231,3,2,1,2,2,1,4538.8,7115.6,408,749.9666667,341.9666667,5738,8053.8,259.9090909,907.3666667,647.4575758,5595.8,14.4,61.6,38.4,11.4,49.4,50.6,3255.4,14.5,54.2,45.8,25.4,56,44,23.9,2967.752,312.325,0.216,12,200.776,173.663,0.042,32.901,492.421,46885.421,47377.842,1.039,13.726,23.9,1609.044,312.325,0.242,12,126.204,173.663,0.042,33.915,467.3,48370.8,48838.1,0.957,13.3,23.9,1456.341,312.325,0.237,11.9,154.161,172.464,0.042,31.775,520.333,45235,45755.333,1.137,14.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1190.665,312.325,0.16,12.1,144.315,174.862,0.042,30.712,346.6,43879.2,44225.8,0.784,11.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1638.67,312.325,0.25,22.2,253.637,292.881,0.042,23.211,278.455,33146,33424.455,0.833,13.873
WT209G3N2F20232,1,1,0,1,1,0,8232.2,12623.8,550,1395.166667,845.1666667,10052.2,13166.2,405.9090909,1647.366667,1241.457576,9196.9,18.7,62,38,32.7,72.3,27.7,6838,16.3,74.1,25.9,26.8,76.5,23.5,23.6,2875.114,308.9,0.145,15.7,349.495,217.537,0.042,32.655,288.5,46734.318,47022.818,0.614,3.936,23.7,1512.643,310.042,0.172,11.8,195.71,171.263,0.042,32.315,446.8,46087.5,46534.3,0.96,11.88,23.4,1343.633,306.615,0.186,11.7,136.477,170.062,0.042,32.449,187.9,46539,46726.9,0.402,0.94,23.8,4856.887,311.184,0.148,24.5,456.589,319.167,0.042,33.195,94.896,47706,47800.896,0.199,9.129,23.6,1205.361,308.9,0.177,11.8,194.659,171.263,0.042,38.859,51.2,55905.5,55956.7,0.091,12.15,23.9,1452.549,312.325,0.206,25.9,279.849,335.092,0.042,37.724,0,54321.9,54321.9,0,13.52,23.7,1248.894,310.042,0.216,14.8,130.09,206.947,0.042,33.773,54.7,48579.1,48633.8,0.112,11.72,23.9,870.366,312.325,0.194,12.3,191.864,177.257,0.042,27.728,165.1,39763.7,39928.8,0.413,1.06,24.1,1024.906,314.607,0.184,26.5,313.812,341.902,0.042,26.565,230.625,38023.25,38253.875,0.603,6.713,23.9,1837.144,312.325,0.216,15.9,214.868,219.885,0.042,18.207,172.643,26045.929,26218.571,0.658,13.05
WT209G3N2F20233,1,1,0,1,2,0,5581.4,8824.4,703.8181818,888.2,184.3818182,7079.8,9535,589.4545455,1080.033333,490.5787879,11003.2,18.3,75.4,24.6,28,78.3,21.7,9196.3,14.6,64.6,35.4,25.9,68.7,31.3,23.7,3275.34,310.042,0.237,15.8,442.26,218.711,0.042,30.006,309.955,42899.364,43209.318,0.717,10.359,23.8,1550.937,311.184,0.217,15.8,223.188,218.711,0.042,29.171,374.4,41631.2,42005.6,0.891,12.19,23.8,1568.227,311.184,0.257,15.9,237.623,219.885,0.042,30.22,286,43231.4,43517.4,0.657,10.14,24,4487.26,313.466,0.159,35.9,723.353,447.554,0.042,30.864,128.146,44315.625,44443.771,0.288,5.617,23.9,1637.681,312.325,0.202,12,345.708,173.663,0.042,38.881,310.2,55677.8,55988,0.554,8.74,23.9,1545.996,312.325,0.19,12,259.788,173.663,0.042,36.47,25.9,52490.5,52516.4,0.049,9.84,23.9,1029.792,312.325,0.09,11.9,267.082,172.464,0.042,32.02,90.2,46018.9,46109.1,0.196,3.74,24,899.571,313.466,0.213,26.2,287.688,338.498,0.042,26.877,65.4,38637.9,38703.3,0.169,0.41,23.7,571.783,310.042,0.094,27.4,333.983,352.099,0.031,17.373,154.25,24862.375,25016.625,0.617,5.288,23.9,1855.18,312.325,0.235,16,154.514,221.057,0.042,19.338,231.929,27615.286,27847.214,0.833,13.343
WT209G3N2F20234,2,0,0,2,0,0,11535.2,17856.2,632.5454545,1935.766667,1303.221212,14615.2,20085.6,426.5454545,2330.333333,1903.787879,9384.4,22,76.1,23.9,33.3,79.2,20.8,6597.1,18.7,78,22,33,87,13,23.7,3076.864,310.042,0.219,11.8,425.917,171.263,0.042,22.075,136.053,31652.211,31788.263,0.428,2.326,23.7,1686.94,310.042,0.246,11.9,213.461,172.464,0.042,22.894,234.8,32732.6,32967.4,0.712,9.4,23.7,1523.732,310.042,0.222,11.8,301.625,171.263,0.042,21.165,26.333,30451.778,30478.111,0.086,5.533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1629.281,312.325,0.24,11.9,109.444,172.464,0.042,27.375,113.1,39306.9,39420,0.287,2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1276.468,312.325,0.146,12,246.673,173.663,0.042,13.243,107.091,18963.182,19070.273,0.562,12.491
WT209G3N2F20235,1,2,1,0,3,1,5870.4,9813.2,695.0909091,987.8333333,292.7424242,4209.6,7692.2,687.4545455,708.4333333,20.97878788,11870,15.4,68.8,31.2,23.2,76,24,9726.7,14,63.4,36.6,30,79.1,20.9,23.8,2363.899,311.184,0.187,15.9,234.179,219.885,0.042,24.456,297.789,34918.842,35216.632,0.846,11.258,23.6,1280.959,308.9,0.168,11.7,171.657,170.062,0.042,25.027,305.8,35732.9,36038.7,0.849,12.31,23.8,1334.779,311.184,0.196,15.9,273.44,219.885,0.042,23.822,288.889,34014.333,34303.222,0.842,10.089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,486.397,312.325,0.026,13.5,210.64,191.562,0.042,15.586,97.9,22346.4,22444.3,0.436,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1122.005,312.325,0.11,15.8,269.599,218.711,0.042,14.386,47.818,20667.636,20715.455,0.231,13.118
WT209G3N2F20236,1,3,1,1,3,0,3550.6,6366,306.0909091,588.5333333,282.4424242,4145,6556,330.6363636,654.3,323.6636364,6524.9,20.3,71.3,28.7,33.2,76,24,5662,20,72.2,27.8,30.9,80.3,19.7,23.6,1784.986,308.9,0.089,11.8,441.167,171.263,0.042,24.063,156.263,34495.158,34651.421,0.451,1.911,23.6,897.719,308.9,0.065,11.8,284.413,171.263,0.042,25.061,129,35958.2,36087.2,0.357,4.02,23.5,1180.43,307.758,0.143,11.7,255.015,170.062,0.042,22.956,186.556,32869.556,33056.111,0.564,8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.3,484.943,305.473,0.079,21.9,280.993,289.44,0.042,12.435,1,17905.2,17906.2,0.006,8.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,931.555,312.325,0.077,12,319.728,173.663,0.042,15.427,134.364,22081,22215.364,0.605,9.5
WT209G3N2F20237,2,1,0,2,2,0,1216,2369.6,405.6363636,191.1333333,-214.5030303,1495.6,3144,247.6363636,265.2,17.56363636,6798.7,20.3,71,29,30.1,76.6,23.4,4297.5,19.5,73.5,26.5,29.3,79.2,20.8,23.9,1997.652,312.325,0.085,12,789.51,173.663,0.042,16.312,129.737,23359.684,23489.421,0.552,4.258,23.9,1212.559,312.325,0.078,12,544.954,173.663,0.042,17.03,132.7,24391.1,24523.8,0.541,7.63,23.8,1096.517,311.184,0.075,11.9,501.869,172.464,0.042,15.514,126.444,22213.667,22340.111,0.566,0.511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,540.267,312.325,0.046,25.4,320.531,329.411,0.008,8.477,31.9,12175,12206.9,0.261,3.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.1,736.332,314.607,0.09,12,208.184,173.663,0.042,8.707,54.545,12483.273,12537.818,0.435,10.473
